Time Elapsed,01:27.6
QNumS:8 Input Value:3,
Time Elapsed,01:39.2
QNumS:9 Input Value:6,
Time Elapsed,01:53.4
QNumS:9 Input Value:6,
Time Elapsed,01:53.4
7/26/2017 14:58,7/26/2017 15:00
PARTICIPANT10,
SphereScenefalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:04.1
QNumT:1 Input Value:Movie: The Dark Knight Rises (2012),
Time Elapsed,01:45.2
QNumT:2 Input Value:Movie: Punisher (1989),
Time Elapsed,02:29.5
QNumT:3 Input Value:Movie: X-Men: Age of Apocalypse (2016),
Time Elapsed,03:29.0
QNumT:4 Input Value:Movie: Superman Returns (2006),
Time Elapsed,04:51.8
QNumS:0 Input Value:5,
Time Elapsed,00:06.0
QNumS:1 Input Value:1,
Time Elapsed,00:12.0
QNumS:2 Input Value:4,
Time Elapsed,00:19.4
QNumS:3 Input Value:5,
Time Elapsed,00:22.8
QNumS:4 Input Value:2,
Time Elapsed,00:27.3
QNumS:5 Input Value:4,
Time Elapsed,00:34.1
QNumS:6 Input Value:5,
Time Elapsed,00:37.8
QNumS:7 Input Value:5,
Time Elapsed,00:41.8
QNumS:8 Input Value:4,
Time Elapsed,00:50.2
QNumS:9 Input Value:4,
Time Elapsed,00:56.6
QNumS:9 Input Value:4,
Time Elapsed,00:56.6
7/27/2017 12:47,7/27/2017 12:48
NodeGraphfalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:07.7
QNumT:1 Input Value:X-Men Origins: Wolverine 2009,
Time Elapsed,01:33.1
QNumT:2 Input Value:Fantastic Four 2015,
Time Elapsed,02:53.4
QNumT:3 Input Value:X-Men Origins: Wolverine 2009,
Time Elapsed,03:21.4
QNumT:4 Input Value:Scott Pilgrim vs the World 2010Superman Returns 2006,
Time Elapsed,04:11.0
QNumS:0 Input Value:3,
Time Elapsed,00:04.6
QNumS:1 Input Value:1,
Time Elapsed,00:10.5
QNumS:2 Input Value:4,
Time Elapsed,00:14.7
QNumS:3 Input Value:4,
Time Elapsed,00:18.5
QNumS:4 Input Value:1,
Time Elapsed,00:20.9
QNumS:5 Input Value:4,
Time Elapsed,00:23.5
QNumS:6 Input Value:5,
Time Elapsed,00:26.1
QNumS:7 Input Value:3,
Time Elapsed,00:28.4
QNumS:8 Input Value:3,
Time Elapsed,00:37.2
QNumS:9 Input Value:4,
Time Elapsed,00:41.1
QNumS:9 Input Value:4,
Time Elapsed,00:41.1
7/27/2017 12:53,7/27/2017 12:54
PARTICIPANT11,
NodeGraphtrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,03:28.5
QNumT:1 Input Value:X-Men: Age of Apocalypse 2016,
Time Elapsed,05:10.3
QNumT:2 Input Value:Fantastic Four: Rise of the Silver Surfer 2007,
Time Elapsed,07:01.5
QNumT:3 Input Value:Avengers: Age of Ultron 2015,
Time Elapsed,13:17.7
QNumT:4 Input Value:Fantastic Four 2005Ghost Rider 2007,
Time Elapsed,15:28.8
QNumS:0 Input Value:1,
Time Elapsed,00:10.4
QNumS:1 Input Value:3,
Time Elapsed,00:26.3
QNumS:2 Input Value:1,
Time Elapsed,00:34.5
QNumS:3 Input Value:4,
Time Elapsed,00:40.6
QNumS:4 Input Value:3,
Time Elapsed,00:49.5
QNumS:5 Input Value:4,
Time Elapsed,00:59.6
QNumS:6 Input Value:3,
Time Elapsed,01:05.1
QNumS:7 Input Value:2,
Time Elapsed,01:14.9
QNumS:8 Input Value:1,
Time Elapsed,01:32.8
QNumS:9 Input Value:4,
Time Elapsed,01:41.3
QNumS:9 Input Value:4,
Time Elapsed,01:41.3
7/27/2017 14:27,7/27/2017 14:29
SphereScenetrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:23.9
QNumT:1 Input Value:Movie: X-Men: Days of Future Past (2014),
Time Elapsed,02:42.4
QNumT:2 Input Value:Movie: League of Extraordinary Gentlemen (2003),
Time Elapsed,02:54.6
QNumT:3 Input Value:Movie: Jonah Hex (2010),
Time Elapsed,05:33.4
QNumT:4 Input Value:Movie: Suicide Squad (2016),
Time Elapsed,08:05.2
QNumS:0 Input Value:4,
Time Elapsed,00:10.3
QNumS:1 Input Value:2,
Time Elapsed,00:15.9
QNumS:2 Input Value:5,
Time Elapsed,00:22.3
QNumS:3 Input Value:5,
Time Elapsed,00:26.7
QNumS:4 Input Value:2,
Time Elapsed,00:37.8
QNumS:5 Input Value:4,
Time Elapsed,00:43.3
QNumS:6 Input Value:5,
Time Elapsed,00:48.8
QNumS:7 Input Value:5,
Time Elapsed,00:56.1
QNumS:8 Input Value:6,
Time Elapsed,01:05.9
QNumS:9 Input Value:4,
Time Elapsed,01:13.2
QNumS:9 Input Value:4,
Time Elapsed,01:13.2
7/27/2017 14:39,7/27/2017 14:40
PARTICIPANT12,
NodeGraphfalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,02:15.9
QNumT:1 Input Value:X-Men: Age of Apocalypse 2016,
Time Elapsed,03:36.6
QNumT:2 Input Value:Amazing Spiderman 2 2014Hulk 2003Punisher 2004The Incredible Hulk 2008Swamp Thing 1982,
Time Elapsed,09:08.0
QNumT:3 Input Value:Iron Man 2008,
Time Elapsed,12:51.1
QNumT:4 Input Value:The Dark Knight Rises 2012Kingsman: The Secret Service 2015Captain America: the Winter Soldier 2014,
Time Elapsed,24:08.3
QNumS:0 Input Value:1,
Time Elapsed,00:21.1
QNumS:1 Input Value:4,
Time Elapsed,00:36.6
QNumS:2 Input Value:3,
Time Elapsed,00:50.2
QNumS:3 Input Value:4,
Time Elapsed,01:03.0
QNumS:4 Input Value:5,
Time Elapsed,01:12.7
QNumS:5 Input Value:5,
Time Elapsed,01:26.2
QNumS:6 Input Value:4,
Time Elapsed,01:34.6
QNumS:7 Input Value:4,
Time Elapsed,01:42.4
QNumS:8 Input Value:2,
Time Elapsed,02:05.6
QNumS:9 Input Value:4,
Time Elapsed,02:26.5
QNumS:9 Input Value:4,
Time Elapsed,02:26.5
7/28/2017 14:58,7/28/2017 15:01
SphereScenefalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,00:36.5
QNumT:1 Input Value:Movie: Avengers: Age of Ultron (2015),
Time Elapsed,02:52.4
QNumT:2 Input Value:Movie: Watchmen (2009)Movie: Mystery Men (1999)Movie: From Hell (2001)Movie: League of Extraordinary Gentlemen (2003),
Time Elapsed,09:45.3
QNumT:3 Input Value:Movie: Captain America: the First Avenger (2011),
Time Elapsed,13:57.5
QNumT:4 Input Value:Movie: Scott Pilgrim vs the World (2010)Movie: The Dark Knight Rises (2012)Movie: Captain America: the Winter Soldier (2014)Movie: Kingsman: The Secret Service (2015),
Time Elapsed,17:18.2
QNumS:0 Input Value:5,
Time Elapsed,00:12.9
QNumS:1 Input Value:3,
Time Elapsed,00:44.7
QNumS:2 Input Value:4,
Time Elapsed,00:58.6
QNumS:3 Input Value:5,
Time Elapsed,01:05.7
QNumS:4 Input Value:1,
Time Elapsed,01:20.3
QNumS:5 Input Value:4,
Time Elapsed,01:27.1
QNumS:6 Input Value:4,
Time Elapsed,01:41.8
QNumS:7 Input Value:5,
Time Elapsed,01:53.3
QNumS:8 Input Value:2,
Time Elapsed,02:06.6
QNumS:9 Input Value:4,
Time Elapsed,02:19.9
QNumS:9 Input Value:4,
Time Elapsed,02:20.0
7/28/2017 15:19,7/28/2017 15:22
PARTICIPANT13,
SphereScenetrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,00:09.2
QNumT:1 Input Value:Movie: Men In Black 3 (2012),
